"filename", "language", "Log", "Python", "Markdown", "HTML", "Database", "SQLite", "pip requirements", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Proiecte\cleandivide\TODO.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Proiecte\cleandivide\app.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proiecte\cleandivide\awards.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Proiecte\cleandivide\cleandivide.log", "Log", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Proiecte\cleandivide\config.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 24
"d:\Proiecte\cleandivide\context_processors.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"d:\Proiecte\cleandivide\database.db", "Database", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 5, 105
"d:\Proiecte\cleandivide\init_db.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Proiecte\cleandivide\logger.log", "Log", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Proiecte\cleandivide\main.py", "Python", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 82
"d:\Proiecte\cleandivide\models.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Proiecte\cleandivide\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\Proiecte\cleandivide\schema.sql", "SQLite", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 2, 17, 105
"d:\Proiecte\cleandivide\static\css\add.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 12, 13, 115
"d:\Proiecte\cleandivide\static\css\dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 10, 63
"d:\Proiecte\cleandivide\static\css\housestatus.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\Proiecte\cleandivide\static\css\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 4, 15, 79
"d:\Proiecte\cleandivide\static\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 20, 37, 237
"d:\Proiecte\cleandivide\static\css\profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 16, 81
"d:\Proiecte\cleandivide\static\css\variables.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\Proiecte\cleandivide\static\icons\house-heart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Proiecte\cleandivide\static\js\add.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 14, 12, 81
"d:\Proiecte\cleandivide\static\js\dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proiecte\cleandivide\static\js\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 3, 17
"d:\Proiecte\cleandivide\static\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 8, 16, 85
"d:\Proiecte\cleandivide\static\js\profile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 7, 9, 56
"d:\Proiecte\cleandivide\templates\about.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6, 11
"d:\Proiecte\cleandivide\templates\add.html", "HTML", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 12, 20, 153
"d:\Proiecte\cleandivide\templates\admin.html", "HTML", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 8, 74
"d:\Proiecte\cleandivide\templates\base.html", "HTML", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 12, 23, 138
"d:\Proiecte\cleandivide\templates\dashboard.html", "HTML", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 3, 26, 149
"d:\Proiecte\cleandivide\templates\generator.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\Proiecte\cleandivide\templates\housestatus.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9, 25
"d:\Proiecte\cleandivide\templates\index.html", "HTML", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 5, 29, 150
"d:\Proiecte\cleandivide\templates\monthly.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 13, 55
"d:\Proiecte\cleandivide\templates\profile.html", "HTML", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 11, 79
"d:\Proiecte\cleandivide\templates\task.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Proiecte\cleandivide\templates\viewdata.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 8, 73
"d:\Proiecte\cleandivide\views\additems.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 14, 32, 158
"d:\Proiecte\cleandivide\views\admin.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 111
"d:\Proiecte\cleandivide\views\auth.py", "Python", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 186
"d:\Proiecte\cleandivide\views\dashboard.py", "Python", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 15, 34, 158
"d:\Proiecte\cleandivide\views\generator.py", "Python", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 143
"d:\Proiecte\cleandivide\views\helpers.py", "Python", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 33, 85, 377
"d:\Proiecte\cleandivide\views\html_helpers.py", "Python", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\Proiecte\cleandivide\views\profile.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 96
"Total", "-", 58, 1019, 42, 760, 100, 86, 25, 169, 4, 475, 240, 617, 3595